enormously,tremendously,tremendously,Label.Correct
provisions,stipulations,stipulations,Label.Correct
haphazardly,randomly,randomly,Label.Correct
prominent,conspicuous,conspicuous,Label.Correct
zenith,pinnacle,pinnacle,Label.Correct
flawed,imperfect,imperfect,Label.Correct
urgently,desperately,desperately,Label.Correct
consumed,eaten,eaten,Label.Correct
advent,coming,coming,Label.Correct
concisely,succinctly,succinctly,Label.Correct
salutes,greetings,greetings,Label.Correct
solitary,alone,restless,Label.Wrong
hasten,accelerate,accelerate,Label.Correct
perseverance,endurance,generosity,Label.Wrong
fanciful,imaginative,imaginative,Label.Correct
showed,demonstrated,demonstrated,Label.Correct
constantly,continually,continually,Label.Correct
issues,subjects,subjects,Label.Correct
furnish,supply,supply,Label.Correct
costly,expensive,expensive,Label.Correct
recognized,acknowledged,acknowledged,Label.Correct
spot,location,location,Label.Correct
make,earn,earn,Label.Correct
often,frequently,frequently,Label.Correct
easygoing,relaxed,relaxed,Label.Correct
debate,argument,argument,Label.Correct
narrow,thin,thin,Label.Correct
arranged,planned,planned,Label.Correct
infinite,limitless,limitless,Label.Correct
showy,striking,prickly,Label.Wrong
levied,imposed,imposed,Label.Correct
deftly,skillfully,skillfully,Label.Correct
distribute,circulate,circulate,Label.Correct
discrepancies,differences,differences,Label.Correct
prolific,productive,productive,Label.Correct
unmatched,unequaled,unequaled,Label.Correct
peculiarly,uniquely,uniquely,Label.Correct
hue,color,color,Label.Correct
hind,rear,curved,Label.Wrong
highlight,accentuate,accentuate,Label.Correct
hastily,hurriedly,hurriedly,Label.Correct
temperate,mild,mild,Label.Correct
grin,smile,smile,Label.Correct
verbally,orally,orally,Label.Guess
physician,doctor,doctor,Label.Correct
essentially,basically,basically,Label.Correct
keen,sharp,sharp,Label.Correct
situated,positioned,positioned,Label.Correct
principal,major,major,Label.Correct
slowly,gradually,gradually,Label.Correct
built,constructed,constructed,Label.Correct
tasks,jobs,jobs,Label.Correct
unlikely,improbable,improbable,Label.Correct
halfheartedly,apathetically,bipartisanly,Label.Guess
annals,chronicles,chronicles,Label.Correct
wildly,furiously,furiously,Label.Correct
hailed,acclaimed,remembered,Label.Wrong
command,mastery,observation,Label.Wrong
concocted,devised,devised,Label.Correct
prospective,potential,potential,Label.Correct
generally,broadly,broadly,Label.Correct
sustained,prolonged,prolonged,Label.Correct
perilous,dangerous,dangerous,Label.Correct
tranquillity,peacefulness,peacefulness,Label.Correct
dissipate,disperse,disperse,Label.Correct
primarily,chiefly,chiefly,Label.Correct
colloquial,conversational,conversational,Label.Correct
resolved,settled,settled,Label.Correct
feasible,possible,possible,Label.Correct
expeditiously,rapidly,rapidly,Label.Correct
percentage,proportion,proportion,Label.Correct
terminated,ended,ended,Label.Correct
uniform,alike,hard,Label.Wrong
figure,solve,list,Label.Wrong
sufficient,enough,enough,Label.Correct
fashion,manner,manner,Label.Correct
marketed,sold,sold,Label.Correct
bigger,larger,larger,Label.Correct
roots,origins,origins,Label.Correct
normally,ordinarily,ordinarily,Label.Correct
