enormously,tremendously,tremendously,Label.Correct
provisions,stipulations,stipulations,Label.Correct
haphazardly,randomly,randomly,Label.Correct
prominent,conspicuous,mysterious,Label.Wrong
zenith,pinnacle,pinnacle,Label.Correct
flawed,imperfect,imperfect,Label.Correct
urgently,desperately,desperately,Label.Correct
consumed,eaten,eaten,Label.Correct
advent,coming,coming,Label.Correct
concisely,succinctly,succinctly,Label.Correct
salutes,greetings,greetings,Label.Correct
solitary,alone,restless,Label.Wrong
hasten,accelerate,accelerate,Label.Correct
perseverance,endurance,endurance,Label.Correct
fanciful,imaginative,imaginative,Label.Correct
showed,demonstrated,demonstrated,Label.Correct
constantly,continually,continually,Label.Correct
issues,subjects,benefits,Label.Wrong
furnish,supply,advise,Label.Wrong
costly,expensive,expensive,Label.Correct
recognized,acknowledged,acknowledged,Label.Correct
spot,location,location,Label.Correct
make,earn,trade,Label.Wrong
often,frequently,frequently,Label.Correct
easygoing,relaxed,relaxed,Label.Correct
debate,argument,election,Label.Wrong
narrow,thin,clear,Label.Wrong
arranged,planned,planned,Label.Correct
infinite,limitless,limitless,Label.Correct
showy,striking,incidental,Label.Wrong
levied,imposed,imposed,Label.Correct
deftly,skillfully,skillfully,Label.Correct
distribute,circulate,commercialize,Label.Wrong
discrepancies,differences,differences,Label.Correct
prolific,productive,promising,Label.Wrong
unmatched,unequaled,emulated,Label.Guess
peculiarly,uniquely,uniquely,Label.Correct
hue,color,color,Label.Correct
hind,rear,hairy,Label.Wrong
highlight,accentuate,alter,Label.Wrong
hastily,hurriedly,hurriedly,Label.Correct
temperate,mild,windy,Label.Wrong
grin,smile,smile,Label.Correct
verbally,orally,orally,Label.Correct
physician,doctor,nurse,Label.Wrong
essentially,basically,basically,Label.Correct
keen,sharp,sharp,Label.Correct
situated,positioned,positioned,Label.Correct
principal,major,most,Label.Wrong
slowly,gradually,gradually,Label.Correct
built,constructed,constructed,Label.Correct
tasks,jobs,materials,Label.Wrong
unlikely,improbable,different,Label.Wrong
halfheartedly,apathetically,unconventionally,Label.Guess
annals,chronicles,chronicles,Label.Correct
wildly,furiously,furiously,Label.Correct
hailed,acclaimed,acclaimed,Label.Correct
command,mastery,observation,Label.Wrong
concocted,devised,devised,Label.Correct
prospective,potential,potential,Label.Correct
generally,broadly,broadly,Label.Correct
sustained,prolonged,prolonged,Label.Correct
perilous,dangerous,binding,Label.Wrong
tranquillity,peacefulness,harshness,Label.Wrong
dissipate,disperse,disperse,Label.Correct
primarily,chiefly,occasionally,Label.Wrong
colloquial,conversational,conversational,Label.Correct
resolved,settled,settled,Label.Correct
feasible,possible,equitable,Label.Wrong
expeditiously,rapidly,rapidly,Label.Correct
percentage,proportion,profit,Label.Wrong
terminated,ended,postponed,Label.Wrong
uniform,alike,hard,Label.Wrong
figure,solve,list,Label.Wrong
sufficient,enough,enough,Label.Correct
fashion,manner,craze,Label.Wrong
marketed,sold,sold,Label.Correct
bigger,larger,larger,Label.Correct
roots,origins,origins,Label.Correct
normally,ordinarily,ordinarily,Label.Correct
